Titles
Rock'n Roll Guillaume Canet Marion Cotillard Johnny Hallyday M6 
Arsenal Football Club Brighton & Hove Albion Football Club Fredrik Ljungberg Alexandre Lacazette 
Union sportive arlequins perpignanais Pro D2 Biarritz olympique Pays basque Perpignan Biarritz 
Sissi Romy Schneider Élisabeth de Wittelsbach 
De l'autre côté du miroir Tim Burton James Bobin Mia Wasikowska W9 Johnny Depp Helena Bonham Carter Sacha Baron Cohen 
Liam Neeson Non-Stop 
FC Barcelone Emmanuel Petit Gerard López Segú 
Le Seigneur des anneaux : La Communauté de l'anneau Peter Jackson J. R. R. Tolkien 
Statue de la Liberté Auguste Bartholdi New York 
Grève Philippe Martinez Confédération générale du travail BFM TV 
Jenifer Yodelice Isabelle Ithurburu Thierry Neuvic 
Rafael Benítez Premier League Transfert Arsenal Football Club West Ham United Football Club 
Thomas Sotto Léa Salamé France 2 L'Émission politique 
Rougeole Vaccination Vaccin contre la rougeole Îles Samoa Épidémie 
Adrien Quatennens Éric Coquerel La France insoumise Député Emmanuel Macron 
SNCF SUD Rail Régimes spéciaux de retraite Cheminot 
Aaron Ramsey Juventus Football Club Società Sportiva Lazio 
Romelu Lukaku Corriere dello Sport - Stadio Chris Smalling Associazione Sportiva Roma Inter Milan 
Saudi Aramco Arabie saoudite Introduction en bourse Pétrole 
Diego Simeone Club Atlético de Madrid Championnat d'Espagne de football Arsenal Football Club 
